Customer Name,Category,Sales,Profit
Fred Hopkins,Office Supplies,"Light Blue\"",0.7
Fred Hopkins,Office Supplies,16.056,5.8203
Maria Bertelson,Office Supplies,21.744,6.795
Bruce Stewart,Furniture,218.75,-161.875
Bruce Stewart,Office Supplies,2.6,0.2925
Logan Currie,Office Supplies,66.284,-178.9668
Heather Kirkland,Furniture,35.168,9.6712
Laurel Elliston,Technology,444.768,44.4768
Joseph Holt,Office Supplies,83.92,5.8744
Joseph Holt,Technology,131.98,35.6346
Joseph Holt,Office Supplies,15.92,7.4824
Joseph Holt,Office Supplies,52.29,16.2099
Joseph Holt,Office Supplies,91.99,3.6796
Michael Stewart,Technology,20.8,6.5
Victoria Wilson,Office Supplies,23.68,8.88
Victoria Wilson,Furniture,452.45,-244.323
Victoria Wilson,Technology,62.982,-14.6958
Victoria Wilson,Technology,1188,-950.4
Victoria Wilson,Technology,89.584,4.4792
Jonathan Howell,Office Supplies,93.06,26.0568
Jonathan Howell,Technology,302.376,22.6782
Joni Blumstein,Office Supplies,5.584,1.8148
Joni Blumstein,Office Supplies,22.704,8.2302
Joni Blumstein,Office Supplies,19.776,-13.8432
Joni Blumstein,Furniture,72.704,19.0848
Joni Blumstein,Technology,479.988,-383.9904
Joni Blumstein,Office Supplies,27.168,2.7168
David Smith,Office Supplies,2.2,0.968
David Smith,Furniture,622.45,136.939
David Smith,Office Supplies,21.98,0.2198
Valerie Dominguez,Furniture,161.568,-28.2744
Valerie Dominguez,Furniture,389.696,43.8408
Erin Ashbrook,Office Supplies,18.648,-12.432
Christopher Schild,Furniture,233.86,-102.048
Christopher Schild,Furniture,620.6145,-248.2458
Christopher Schild,Office Supplies,5.328,-3.552
Christopher Schild,Furniture,258.072,0.0
Christopher Schild,Technology,617.976,-7.7247
David Bremer,Office Supplies,10.56,4.752
Ken Lonsdale,Office Supplies,25.92,9.396
Ken Lonsdale,Furniture,419.68,-356.728
Ken Lonsdale,Furniture,11.688,-4.6752
Ken Lonsdale,Technology,31.984,11.1944
Ken Lonsdale,Furniture,177.225,-120.513
Ken Lonsdale,Furniture,4.044,-2.8308
Ken Lonsdale,Office Supplies,7.408,1.2038
Dianna Wilson,Furniture,2001.86,580.5394
Dianna Wilson,Office Supplies,166.72,41.68
Dianna Wilson,Office Supplies,47.88,23.94
Dianna Wilson,Office Supplies,1503.25,496.0725
Dianna Wilson,Office Supplies,25.92,12.4416
Logan Haushalter,Furniture,321.568,28.1372
Kelly Collister,Office Supplies,7.61,3.5767
Kelly Collister,Technology,3347.37,636.0003
Delfina Latchford,Office Supplies,80.58,22.5624
Delfina Latchford,Office Supplies,361.92,162.864
Dan Reichenbach,Furniture,12.132,-8.4924
Dan Reichenbach,Office Supplies,"Black\"",0.2
Dan Reichenbach,Office Supplies,53.92,4.044
Dan Reichenbach,Technology,647.904,56.6916
Craig Carreira,Technology,20.37,6.9258
Craig Carreira,Office Supplies,221.55,6.6465
Craig Carreira,Office Supplies,17.52,6.132
Dorris liebe,Office Supplies,1.624,-4.466
Sean Braxton,Technology,3059.982,-509.997
Sean Braxton,Technology,2519.958,-251.9958
Roy Collins,Technology,328.224,28.7196
Alan Hwang,Technology,79.9,35.156
Claudia Bergmann,Office Supplies,14.016,4.7304
Paul Gonzalez,Office Supplies,7.56,0.3024
Christine Abelman,Office Supplies,37.208,-7.4416
Christine Abelman,Office Supplies,57.576,21.591
Kristen Hastings,Office Supplies,725.84,210.4936
Helen Andreada,Technology,209.93,92.3692
Helen Andreada,Furniture,5.28,2.3232
Helen Andreada,Office Supplies,10.92,4.095
Barry Blumstein,Office Supplies,"Gregg Ruled\"",0.0
Barry Blumstein,Office Supplies,5.98,1.5548
Andrew Gjertsen,Office Supplies,11.648,4.0768
Andrew Gjertsen,Office Supplies,"200 Messages\"",0.2
Andrew Gjertsen,Office Supplies,59.712,5.9712
Andrew Gjertsen,Office Supplies,24.84,8.694
Steven Cartwright,Office Supplies,2.08,-3.432
Steven Cartwright,Technology,1114.4,376.11
Jas O'Carroll,Furniture,1038.84,51.942
Tracy Blumstein,Office Supplies,141.76,47.844
Tracy Blumstein,Technology,239.8,47.96
Tracy Blumstein,Office Supplies,31.104,10.8864
Alan Haines,Office Supplies,254.058,-169.372
Alan Haines,Office Supplies,194.528,24.316
Alan Haines,Office Supplies,961.48,-204.3145
Nick Zandusky,Office Supplies,19.096,6.6836
Nick Zandusky,Office Supplies,18.496,6.2424
Nick Zandusky,Technology,255.984,54.3966
Nick Zandusky,Furniture,86.97,-48.7032
Kelly Lampkin,Furniture,300.416,78.8592
Kelly Lampkin,Furniture,230.352,20.1558
Kelly Lampkin,Furniture,218.352,-24.5646
Kelly Lampkin,Office Supplies,78.6,-62.88
Kelly Lampkin,Office Supplies,27.552,9.2988
Jonathan Doherty,Office Supplies,32.4,15.552
Jonathan Doherty,Office Supplies,"Sand\"",0.0
Jonathan Doherty,Office Supplies,56.91,27.3168
Jonathan Doherty,Furniture,77.6,38.024
Jonathan Doherty,Office Supplies,14.28,6.5688
Jonathan Howell,Furniture,219.075,-131.445
Alan Schoenberger,Furniture,26.8,12.864
Ken Brennan,Office Supplies,9.84,2.8536
Corey Roper,Office Supplies,45.48,20.9208
Corey Roper,Office Supplies,289.2,83.868
Shahid Hopkins,Office Supplies,4.89,2.0049
Ben Peterman,Furniture,15.136,3.5948
Ben Peterman,Furniture,466.768,52.5114
Ben Peterman,Furniture,15.232,1.7136
Ben Peterman,Office Supplies,6.264,2.0358
Thomas Seio,Furniture,87.54,37.6422
Andy Gerbode,Technology,178.384,22.298
Andy Gerbode,Office Supplies,15.552,5.4432
Sung Pak,Office Supplies,99.136,8.6744
Nathan Mautz,Furniture,135.882,24.1568
Nathan Mautz,Technology,3991.98,1995.99
Nathan Mautz,Technology,275.94,80.0226
Nathan Mautz,Technology,360,129.6
Nathan Mautz,Office Supplies,43.57,13.071
Frank Atkinson,Office Supplies,7.16,3.58
Grace Kelly,Office Supplies,251.52,81.744
Grace Kelly,Technology,99.99,34.9965
Don Jones,Furniture,15.992,0.9995
Patrick O'Brill,Technology,290.898,-67.8762
Patrick O'Brill,Office Supplies,54.224,3.389
Patrick O'Brill,Furniture,786.744,-258.5016
Patrick O'Brill,Office Supplies,100.24,33.831
Patrick O'Brill,Office Supplies,37.764,-27.6936
John Lucas,Technology,82.8,-20.7
John Lucas,Office Supplies,20.724,-13.816
John Lucas,Office Supplies,4.896,-3.4272
Doug Bickford,Office Supplies,4.752,1.6038
Doug Bickford,Technology,959.984,335.9944
Doug Bickford,Office Supplies,14.368,4.49
Alyssa Crouse,Office Supplies,7.712,2.7956
Alyssa Crouse,Furniture,698.352,-17.4588
Ken Lonsdale,Office Supplies,"Black\"",0.0
Jonathan Doherty,Office Supplies,17.856,1.116
Jonathan Doherty,Office Supplies,509.97,-407.976
Jonathan Doherty,Office Supplies,30.992,10.0724
Jonathan Doherty,Technology,"White\"",0.4
Chad Sievert,Office Supplies,88.8,-2.22
Clay Cheatham,Technology,47.976,4.7976
Tamara Dahlen,Office Supplies,7.56,3.0996
Tamara Dahlen,Office Supplies,24.56,11.5432
Tamara Dahlen,Office Supplies,12.96,4.1472
Adam Bellavance,Technology,6.79,2.3086
Adam Bellavance,Office Supplies,24.56,11.5432
Adam Bellavance,Office Supplies,3.048,1.0668
Adam Bellavance,Office Supplies,49.12,23.0864
Adam Bellavance,Office Supplies,4355.168,1415.4296
Jeremy Lonsdale,Furniture,388.704,-4.8588
Jeremy Lonsdale,Office Supplies,8.26,3.7996
Jeremy Lonsdale,Office Supplies,17.04,6.9864
Jeremy Lonsdale,Office Supplies,34.4,15.824
Heather Kirkland,Office Supplies,36.24,11.325
Victoria Brennan,Office Supplies,647.84,168.4384
Victoria Brennan,Office Supplies,20.7,9.936
Katrina Willman,Office Supplies,20.7,9.936
Katrina Willman,Furniture,488.646,86.8704
Katrina Willman,Office Supplies,5.56,1.4456
Katrina Willman,Furniture,47.12,20.7328
Julia Dunbar,Office Supplies,211.96,8.4784
Michael Kennedy,Office Supplies,23.2,10.44
Michael Kennedy,Office Supplies,7.36,0.1472
Michael Kennedy,Office Supplies,104.79,29.3412
Michael Kennedy,Furniture,1043.92,271.4192
Guy Thornton,Office Supplies,25.92,9.396
Guy Thornton,Office Supplies,53.424,4.6746
Arthur Gainer,Office Supplies,8.16,-5.712
Arthur Gainer,Technology,1023.936,179.1888
Arthur Gainer,Office Supplies,9.24,0.924
Arthur Gainer,Technology,479.04,-29.94
Muhammed MacIntyre,Office Supplies,99.136,30.98
Allen Rosenblatt,Furniture,1488.424,-297.6848
Russell Applegate,Office Supplies,8.652,-20.3322
Russell Applegate,Office Supplies,23.832,2.6811
Russell Applegate,Office Supplies,"Black\"",0.8
Alejandro Savely,Office Supplies,50.96,25.48
Alejandro Savely,Office Supplies,49.536,17.3376
Laura Armstrong,Technology,41.9,8.799
Denny Ordway,Furniture,375.4575,-157.0095
Denny Ordway,Technology,83.976,-1.0497
Dean Katz,Technology,482.34,-337.638
Dean Katz,Furniture,2.96,0.777
Nathan Gelder,Office Supplies,2.624,0.4264
Mike Vittorini,Office Supplies,23.36,7.884
Mike Vittorini,Technology,39.98,13.5932
Jack Garza,Technology,246.384,27.7182
Jack Garza,Technology,1799.97,701.9883
Bart Pistole,Office Supplies,12.462,-20.5623
Victor Preis,Office Supplies,75.792,25.5798
Saphhira Shifley,Office Supplies,49.96,9.4924
Saphhira Shifley,Office Supplies,12.96,6.2208
Harold Pawlan,Office Supplies,70.12,21.036
Anna Gayman,Office Supplies,35.952,3.5952
Anna Gayman,Furniture,2396.2656,-317.1528
Anna Gayman,Office Supplies,131.136,-32.784
Anna Gayman,Technology,57.584,0.7198
Luke Foster,Office Supplies,9.568,3.4684
Stephanie Phelps,Office Supplies,39.072,9.768
Roy Franz�sisch,Office Supplies,35.91,9.6957
Keith Herrera,Technology,179.95,37.7895
Keith Herrera,Technology,1199.976,434.9913
Keith Herrera,Office Supplies,27.15,13.3035
Keith Herrera,Furniture,1004.024,-112.9527
Keith Herrera,Office Supplies,9.68,4.6464
Keith Herrera,Office Supplies,28.35,13.608
Keith Herrera,Office Supplies,55.98,27.4302
Keith Herrera,Furniture,1336.829,31.4548
Keith Herrera,Furniture,113.568,-18.4548
Kimberly Carter,Office Supplies,139.86,65.7342
Kimberly Carter,Furniture,307.136,26.8744
Caroline Jumper,Office Supplies,95.92,25.8984
Philip Brown,Furniture,383.8,38.38
Victoria Brennan,Office Supplies,5.78,2.8322
Sung Pak,Office Supplies,9.32,2.7028
Sung Pak,Office Supplies,15.25,7.015
Joel Eaton,Technology,196.752,56.5662
Michael Paige,Furniture,56.56,14.7056
Michael Paige,Office Supplies,32.7,8.502
Natalie Fritzler,Furniture,866.4,225.264
Janet Molinari,Furniture,28.4,11.076
Janet Molinari,Office Supplies,287.92,138.2016
Shirley Daniels,Technology,69.99,30.0957
Ken Heidel,Office Supplies,6.672,0.5004
Ross Baird,Office Supplies,189.588,-145.3508
Ross Baird,Technology,408.744,76.6395
Ross Baird,Technology,291.96,54.7425
Ross Baird,Office Supplies,4.768,-0.7748
Dave Brooks,Office Supplies,714.3,207.147
Mike Kennedy,Office Supplies,4.812,-3.6892
Mike Kennedy,Technology,247.8,-18.585
Philisse Overcash,Technology,1007.979,43.1991
Philisse Overcash,Office Supplies,313.488,113.6394
Brenda Bowman,Office Supplies,31.872,11.5536
Cynthia Voltz,Furniture,207.846,2.3094
Pete Kriz,Furniture,12.22,3.666
Pete Kriz,Office Supplies,194.94,23.3928
Pete Kriz,Office Supplies,70.95,20.5755
Pete Kriz,Office Supplies,"Ream\"",0.0
Pete Kriz,Furniture,242.94,29.1528
Pete Kriz,Office Supplies,22.05,10.584
Troy Blackwell,Furniture,2.91,1.3677
Raymond Buch,Office Supplies,59.52,15.4752
Raymond Buch,Office Supplies,161.94,9.7164
Raymond Buch,Office Supplies,263.88,71.2476
Raymond Buch,Office Supplies,30.48,7.9248
Raymond Buch,Office Supplies,9.84,2.8536
Raymond Buch,Technology,35.12,9.1312
Ed Braxton,Furniture,284.364,-75.8304
Ed Braxton,Office Supplies,665.408,66.5408
Ken Heidel,Technology,63.88,24.9132
Sanjit Chand,Furniture,129.568,-24.294
Natalie Fritzler,Furniture,747.558,-96.1146
Natalie Fritzler,Office Supplies,8.928,3.348
Joseph Holt,Office Supplies,103.92,36.372
Joseph Holt,Technology,899.91,377.9622
Joseph Holt,Office Supplies,51.312,18.6006
Tanja Norvell,Furniture,23.56,7.068
Tanja Norvell,Furniture,1272.63,-814.4832
Tanja Norvell,Office Supplies,28.485,-20.889
Tanja Norvell,Office Supplies,185.376,-34.758
Tanja Norvell,Office Supplies,78.272,5.8704
Joni Sundaresam,Furniture,254.744,-312.0614
David Smith,Furniture,205.3328,-36.2352
Craig Carreira,Office Supplies,4.788,-7.9002
Maya Herman,Office Supplies,55.48,26.6304
Jeremy Pistek,Office Supplies,340.92,3.4092
Jeremy Pistek,Furniture,222.666,10.4784
Jeremy Pistek,Technology,703.968,87.996
Jeremy Pistek,Office Supplies,92.52,24.9804
Jeremy Pistek,Office Supplies,"5 1/2\"\" X 4\"\"\"",0.0
Jeremy Pistek,Office Supplies,94.85,45.528
Kristen Hastings,Technology,95.76,7.182
Jeremy Ellison,Furniture,40.2,19.296
John Grady,Office Supplies,14.7,6.615
John Grady,Office Supplies,704.25,84.51
Xylona Preis,Technology,9.09,1.9089
Erin Mull,Office Supplies,5.96,1.6688
Erin Mull,Technology,159.98,57.5928
Michelle Tran,Office Supplies,29.6,14.8
Michelle Tran,Furniture,514.165,-30.245
Michelle Tran,Technology,279.96,17.4975
Sue Ann Reed,Technology,2735.952,341.994
Carl Weiss,Technology,7.992,0.5994
Carl Weiss,Technology,63.984,10.3974
Carl Weiss,Office Supplies,70.368,6.1572
Astrea Jones,Office Supplies,449.15,8.983
Astrea Jones,Office Supplies,11.07,5.0922
Sonia Sunley,Technology,93.98,13.1572
Rose O'Brian,Furniture,189.882,-94.941
Maribeth Dona,Office Supplies,105.42,51.6558
Sanjit Chand,Office Supplies,119.616,40.3704
Sanjit Chand,Furniture,255.76,81.8432
Sanjit Chand,Furniture,241.568,18.1176
Sanjit Chand,Furniture,69.3,22.869
Maribeth Yedwab,Office Supplies,22.62,-15.08
Maribeth Yedwab,Office Supplies,14.952,-11.9616
Maribeth Yedwab,Furniture,801.568,50.098
Maribeth Yedwab,Office Supplies,2.376,-1.9008
Maribeth Yedwab,Office Supplies,32.792,11.8871
Ed Braxton,Office Supplies,15.92,5.373
Christopher Martinez,Office Supplies,2.74,0.7398
Christopher Martinez,Office Supplies,8.34,2.1684
Christopher Martinez,Office Supplies,46.74,11.685
Christopher Martinez,Office Supplies,6354.95,3177.475
Lynn Smith,Furniture,126.3,40.416
Lynn Smith,Technology,38.04,12.1728
Luke Foster,Office Supplies,7.152,0.7152
Bradley Nguyen,Office Supplies,6.63,1.7901
Bradley Nguyen,Office Supplies,5.88,1.7052
Alan Dominguez,Technology,2999.95,1379.977
Alan Dominguez,Office Supplies,51.45,13.8915
Alan Dominguez,Office Supplies,11.96,5.382
Alan Dominguez,Office Supplies,1126.02,56.301
Dean Braden,Technology,18.392,5.2877
Dean Braden,Office Supplies,129.568,-25.9136
Dean Braden,Office Supplies,14.112,-21.168
Matt Connell,Furniture,210.98,21.098
Logan Haushalter,Technology,55.176,-12.4146
Logan Haushalter,Technology,66.26,27.1666
Brian Dahlen,Office Supplies,22.2,10.434
Patricia Hirasaki,Furniture,683.952,42.747
Patricia Hirasaki,Furniture,45.696,5.1408
Mike Gockenbach,Office Supplies,36.336,-7.2672
Mike Gockenbach,Office Supplies,666.248,-149.9058
Mike Gockenbach,Office Supplies,52.512,19.692
Karen Bern,Furniture,190.72,11.92
Jasper Cacioppo,Furniture,47.94,2.397
Rob Lucas,Technology,979.95,274.386
Rob Lucas,Office Supplies,22.75,11.375
Allen Armold,Office Supplies,16.768,1.4672
Emily Phan,Office Supplies,42.616,-68.1856
Mark Packer,Office Supplies,10.752,3.36
Darren Koutras,Office Supplies,152.94,41.2938
Darren Koutras,Furniture,283.92,70.98
Bradley Drucker,Technology,468.9,206.316
Erin Smith,Technology,380.864,38.0864
Liz MacKendrick,Office Supplies,646.776,-145.5246
Paul Gonzalez,Technology,58.112,7.264
Paul Gonzalez,Technology,100.792,6.2995
Paul Gonzalez,Furniture,66.112,-84.2928
Adrian Shami,Office Supplies,41.28,13.932
Adrian Shami,Office Supplies,13.36,6.4128
Dean Katz,Office Supplies,250.272,15.642
Dean Katz,Office Supplies,11.364,-17.046
Dean Katz,Office Supplies,8.72,-1.744
Bill Donatelli,Furniture,1121.568,0.0
Ryan Crowe,Furniture,34.504,6.0382
Greg Tran,Office Supplies,10.824,2.5707
Dean Katz,Office Supplies,1295.78,310.9872
Ashley Jarboe,Office Supplies,19.456,3.4048
Olvera Toch,Office Supplies,20.7,9.936
Olvera Toch,Furniture,1335.68,-217.048
Olvera Toch,Office Supplies,32.4,15.552
Liz Pelletier,Furniture,42.6,16.614
Liz Pelletier,Office Supplies,84.056,27.3182
Cynthia Arntzen,Office Supplies,13,1.3
Cynthia Arntzen,Furniture,13.128,3.7743
Jeremy Farry,Office Supplies,3.96,0.0
Jeremy Farry,Office Supplies,2.61,1.2006
Frank Preis,Technology,374.376,46.797
Ellis Ballard,Office Supplies,91.84,45.0016
Ellis Ballard,Office Supplies,81.088,27.3672
Ellis Ballard,Office Supplies,19.44,9.3312
Ellis Ballard,Furniture,451.152,0.0
Jennifer Ferguson,Office Supplies,72.45,34.776
Jennifer Ferguson,Office Supplies,13.96,6.4216
Jennifer Ferguson,Office Supplies,33.264,11.2266
Jennifer Ferguson,Technology,14.85,4.0095
Sarah Foster,Office Supplies,8.82,2.3814
Trudy Glocke,Office Supplies,160.72,78.7528
Trudy Glocke,Office Supplies,19.92,9.7608
Trudy Glocke,Office Supplies,7.3,2.19
Carlos Soltero,Office Supplies,69.712,8.714
